ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3,svi_zeros_pct
POMO3,95,0.2033,0.6842,31.5789,0.0,1.0,0.0,0.7542,0.7275,0.7309,0.0345
POMO4,95,0.008,0.9895,1.0526,0.0,1.0,0.0,0.983,0.9913,0.9833,0.0
POSI3,95,0.2112,0.9181,7.3684,1.0792,0.9625,2.1053,0.9751,0.969,0.9579,0.0
PRIO3,95,0.0209,0.9789,2.1053,0.0,1.0,0.0,0.9933,0.9937,0.9933,0.0
PRNR3,95,0.0141,0.9684,3.1579,0.0,1.0,0.0,0.9963,0.9962,0.9963,0.3487
PSSA3,95,0.1875,0.7158,28.4211,0.7318,0.9485,4.2105,0.9827,0.932,0.9462,0.0
PTBL3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9985,0.9987,0.9987,0.0498
PTNT3,95,0.0262,0.9242,0.0,9.9806,0.7799,0.0,0.8662,0.8601,0.8629,0.9808
PTNT4,95,0.159,0.9292,6.383,0.0569,0.9929,0.0,0.8386,0.8407,0.8415,0.9732
QUAL3,95,0.1155,0.9789,2.1053,0.0,1.0,0.0,0.9864,0.9853,0.9863,0.0
RADL3,95,0.0306,0.9476,5.2632,0.0,1.0,0.0,0.9834,0.9898,0.9904,0.0077
